IdCaso,IdCasoRelacionado,DIAH,MESH,ANNOH,REGION,DEPTO_CASO,MUNINICIO_CASO,Modalidad,TipoArmas,PRESUNTO_REPONSABLE,DESCRIPCION_PRESUNTO_RESPONSABLE,AbandonoDespojoForzadoTierras,AmenazaIntimidacion,AtaqueContraMisionMedica,ConfinamientoRestriccionMovilidad,DesplazamientoForzado,Extorsion,Pillaje,LesionadosCiviles,Tortura,ViolenciaBasadaGenero,OtroHechoSimultaneo,TotalCombatientesMuertos,TotalCivilesMuertos,TotalCivilesCombatientesMuertos,NumeroVictimasCaso,Estado
419294,Cr005118,29,1,1997,Valle de aburra,Antioquia,Medellín,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Otro,,0,0,0,0,0,0,0,56,0,,,0,5,5,5,Publicado
419295,Cr005124,27,2,1997,Uraba,Antioquia,Apartadó,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,Farc,0,0,0,0,0,0,0,53,0,,,0,10,10,10,Publicado
419296,,14,10,1997,Caguan,Caquetá,Puerto rico,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,Farc,0,0,0,0,0,0,0,4,0,,,0,1,1,1,Publicado
419297,Cr005139,27,5,2003,Caguan,Caquetá,San vicente del caguán,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,Farc,0,0,0,0,0,0,0,2,0,,,0,1,1,1,Publicado
419298,Cr005165,28,9,2003,Florencia y area de influencia,Caquetá,Florencia,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,Farc,0,0,0,0,0,0,0,48,0,,,2,12,14,14,Publicado
419299,Cr047153,1,11,2003,Florencia y area de influencia,Caquetá,Florencia,Ataque a objetivo militar con efecto indiscriminado,Artefacto explosivo,Guerrilla,Farc,0,0,0,0,0,0,0,12,0,,,0,3,3,3,Publicado
419300,,25,9,2011,Norte del cauca,Cauca,Caldono,Ataque a objetivo militar con efecto indiscriminado,Artefacto explosivo,Guerrilla,Farc,0,0,0,0,0,0,0,0,0,,,0,0,0,0,Publicado
419301,Cr017054,22,1,2012,Catatumbo,Norte de santander,El tarra,Ataque a objetivo militar con efecto indiscriminado,Artefacto explosivo,Guerrilla,Farc,0,0,0,0,0,0,0,0,0,,,0,0,0,0,Publicado
419302,Cr008089,1,5,2012,Patia,Cauca,Argelia,Ataque a objetivo militar con efecto indiscriminado,Artefacto explosivo,Guerrilla,Farc,0,0,0,0,0,0,0,1,0,,,0,0,0,0,Publicado
419303,,17,5,2012,Norte del cauca,Cauca,Caloto,Ataque a objetivo militar con efecto indiscriminado,Arma de fuego - artefacto explosivo,Agente del estado,Policía nacional,0,0,0,0,0,0,0,4,0,,,0,0,0,0,Publicado
419304,Cr012043,24,5,2012,Centro de nariño,Nariño,Sandoná,Ataque a objetivo militar con efecto indiscriminado,Artefacto explosivo,Guerrilla,Farc,0,0,0,0,0,0,0,4,0,,,0,0,0,0,Publicado
419305,,18,6,2012,Anden pacifico sur,Valle del cauca,Buenaventura,Ataque a objetivo militar con efecto indiscriminado,Artefacto explosivo,Guerrilla,Farc,0,0,0,0,0,0,0,8,0,,,0,0,0,0,Publicado
419306,,14,10,2012,Sarare,Arauca,Tame,Ataque a objetivo militar con efecto indiscriminado,Artefacto explosivo,Guerrilla,Farc,0,0,0,0,0,0,0,0,0,,,0,2,2,2,Publicado
419307,Cr080122,16,1,2014,Norte de antioquia,Antioquia,San andrés de cuerquía,Ataque a objetivo militar con efecto indiscriminado,Artefacto explosivo,Guerrilla,Farc,0,0,0,0,0,0,0,1,0,,,0,0,0,0,Publicado
419308,Cr016067,24,8,2014,Serrania del perija,Cesar,San diego,Ataque a objetivo militar con efecto indiscriminado,Artefacto explosivo,Guerrilla,No identificada,0,0,0,0,0,0,0,0,0,,,0,0,0,0,Publicado
421647,Cr2017421647,2,12,2002,Serrania del perija,La guajira,La jagua del pilar,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,Farc,0,0,0,0,0,0,0,0,0,,,0,0,0,0,Publicado
448523,,13,6,2011,Anden pacifico sur,Nariño,El charco,Ataque a objetivo civil con efecto indiscriminado,Artefacto explosivo,Guerrilla,Farc,0,0,0,0,0,0,0,15,0,,,,,0,0,Publicado
