IdCaso,IdCasoRelacionado,DIAH,MESH,ANNOH,REGION,DEPTO_CASO,MUNINICIO_CASO,Modalidad,TipoArmas,PRESUNTO_REPONSABLE,DESCRIPCION_PRESUNTO_RESPONSABLE,AbandonoDespojoForzadoTierras,AmenazaIntimidacion,AtaqueContraMisionMedica,ConfinamientoRestriccionMovilidad,DesplazamientoForzado,Extorsion,LesionadosCiviles,Pillaje,Tortura,ViolenciaBasadaGenero,OtroHechoSimultaneo,NumeroVictimasCaso,Estado
290304,,16,9,1998,Atrato,Chocó,El carmen de atrato,Desconocida,Nd,Grupo paramilitar,Autodefensas unidas de colombia auc,0,0,0,0,0,0,0,0,0,,,4,Publicado
290305,,22,9,1998,Magdalena medio,Bolívar,Tiquisio,Incursión,Arma de fuego,Grupo paramilitar,Autodefensas unidas de colombia auc,0,0,0,0,0,0,0,0,1,,,5,Publicado
290307,Cr020876,25,9,1998,Ariari guayabero,Meta,Lejanías,Ruta,Arma de fuego,Grupo paramilitar,Autodefensas unidas de colombia auc,0,1,0,0,0,0,1,0,0,,,4,Publicado
290308,,28,9,1998,Catatumbo,Norte de santander,Tibú,Desconocida,Arma de fuego,Grupo armado no identificado,No aplica,0,0,0,0,0,0,0,0,0,,,5,Publicado
290310,Cr047884,1,10,1998,Magdalena medio,Bolívar,Tiquisio,Ruta,Arma de fuego,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,0,0,,,4,Publicado
290311,,1,10,1998,Sierra nevada de santa marta,Magdalena,Ciénaga,Desconocida,Nd,Grupo paramilitar,Otro,0,0,0,0,0,0,0,0,0,,,5,Publicado
290312,,7,10,1998,Sur del valle,Valle del cauca,Jamundí,Asalto,Arma de fuego,Guerrilla,Eln,0,0,0,0,0,0,3,0,0,,,5,Publicado
290313,,4,10,1998,Magdalena medio,Santander,San vicente de chucurí,Retención/ejecución,Arma de fuego,Grupo paramilitar,Autodefensas campesinas del magdalena medio,0,0,0,0,0,0,0,0,1,,,4,Publicado
290314,,9,10,1998,Valle de aburra,Antioquia,Medellín,Ataque indiscriminado,Arma de fuego,Grupo armado no identificado,No aplica,0,0,0,0,0,0,0,0,0,,,4,Publicado
290315,,12,10,1998,Nordeste antioqueño,Antioquia,Santo domingo,Retención/ejecución,Arma de fuego,Grupo paramilitar,No identificado,0,0,0,0,0,0,0,0,4,,,4,Publicado
290316,,12,10,1998,Sierra nevada de santa marta,Magdalena,Ciénaga,Incursión,Arma corto punzante - arma de fuego,Grupo paramilitar,Autodefensas unidas de colombia auc,0,0,0,0,1,0,0,0,1,,,14,Publicado
290317,,14,10,1998,Altiplano cundiboyacense,Cundinamarca,Guachetá,Asalto,Arma de fuego,Grupo armado no identificado,No aplica,0,0,0,0,0,0,1,0,0,,,7,Publicado
290318,,15,10,1998,Area metropolitana de cucuta,Norte de santander,Cúcuta,Asalto,Arma de fuego,Desconocido,No aplica,0,0,0,0,0,0,0,0,0,,,6,Publicado
290319,,16,10,1998,Magdalena medio,Santander,Barrancabermeja,Desconocida,Arma de fuego,Grupo paramilitar,Autodefensas campesinas del sur del cesar,0,0,0,0,0,0,0,0,0,,,4,Publicado
